               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10891,             0.02939,             0.06505,          0.00095439,             0.30929,           0.0029948,           0.0012611,             0.11058,            0.022681,            0.063779,              0.0892,              0.0012,              0.0012
                   1,            0.082674,            0.029999,            0.058466,           0.0027441,             0.67108,            0.029539,            0.010301,            0.095451,            0.021175,            0.059067,            0.077475,           0.0024753,           0.0024753
                   2,            0.069515,            0.027645,            0.053724,             0.46728,                 0.2,             0.23655,             0.11068,            0.084524,             0.01867,             0.05463,            0.065725,           0.0037248,           0.0037248
                   3,             0.06023,            0.026254,            0.049461,             0.46295,             0.18457,             0.18975,            0.083597,            0.081115,            0.016422,            0.052698,            0.053949,           0.0049485,           0.0049485
                   4,            0.057257,            0.024889,            0.047267,             0.41851,             0.15689,              0.1977,             0.08353,            0.076914,            0.015492,            0.051729,            0.042147,           0.0061466,           0.0061466
                   5,            0.056869,            0.021752,            0.045386,             0.44326,             0.39865,             0.35071,             0.14394,            0.072284,            0.014825,            0.048094,            0.030319,           0.0073188,           0.0073188
                   6,             0.05515,            0.020986,            0.043123,             0.49215,              0.1681,             0.15424,            0.080075,            0.081193,            0.013467,            0.046885,            0.018465,           0.0084654,           0.0084654
                   7,            0.056663,            0.018149,             0.04204,             0.41495,             0.41789,             0.31754,             0.11862,            0.076186,            0.012574,            0.044489,            0.009307,            0.009307,            0.009307
                   8,            0.054878,             0.01699,            0.039535,             0.37024,             0.41217,             0.39837,             0.18418,            0.069165,            0.012549,            0.043208,            0.009307,            0.009307,            0.009307
                   9,            0.051024,            0.016712,            0.036443,             0.38045,             0.45219,             0.41161,                0.21,             0.07157,            0.011352,             0.04128,            0.009208,            0.009208,            0.009208
                  10,            0.049673,            0.015489,            0.035324,             0.44787,             0.49249,             0.41436,             0.19646,            0.068244,            0.010881,            0.040068,            0.009109,            0.009109,            0.009109
                  11,            0.046933,            0.013793,            0.032217,             0.45906,             0.58716,             0.47343,             0.24481,            0.060537,            0.011143,            0.039004,             0.00901,             0.00901,             0.00901
                  12,            0.047131,            0.013207,            0.031039,             0.40424,             0.52905,             0.45256,             0.19436,            0.067885,            0.010706,            0.038203,            0.008911,            0.008911,            0.008911
                  13,            0.047361,            0.011989,            0.030842,             0.44677,             0.54305,             0.48408,             0.27932,            0.066119,            0.010015,            0.037837,            0.008812,            0.008812,            0.008812
                  14,            0.042206,            0.012842,            0.027219,             0.40635,             0.65003,             0.49112,             0.26867,            0.063144,            0.010541,             0.03659,            0.008713,            0.008713,            0.008713
                  15,            0.041199,             0.01104,            0.027924,             0.41697,             0.64143,             0.58086,             0.29748,            0.061978,           0.0096703,            0.035723,            0.008614,            0.008614,            0.008614
                  16,            0.042334,            0.011301,            0.025195,             0.49621,              0.6512,             0.61316,             0.38675,            0.057497,            0.009565,            0.035718,            0.008515,            0.008515,            0.008515
                  17,            0.037237,            0.011416,            0.026434,                0.41,              0.6464,             0.61895,             0.38383,            0.055845,           0.0098199,            0.036415,            0.008416,            0.008416,            0.008416
                  18,            0.037352,           0.0097582,            0.024532,             0.51025,             0.64441,             0.61662,             0.38741,            0.055005,           0.0093689,            0.036128,            0.008317,            0.008317,            0.008317
                  19,            0.037689,           0.0096922,            0.024477,              0.6364,             0.63572,             0.65149,             0.43593,            0.055253,            0.009247,            0.036029,            0.008218,            0.008218,            0.008218
                  20,            0.036594,           0.0099032,            0.024411,             0.55658,              0.6594,             0.63457,             0.38769,            0.054366,            0.009179,            0.034862,            0.008119,            0.008119,            0.008119
                  21,            0.035003,            0.010396,            0.023761,             0.74007,             0.55767,             0.66175,             0.45319,            0.053318,           0.0092252,              0.0342,             0.00802,             0.00802,             0.00802
