               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1089,            0.029392,             0.06505,          0.00088412,             0.29968,           0.0027346,           0.0012404,             0.11035,            0.022456,            0.062947,              0.0892,              0.0012,              0.0012
                   1,             0.08294,            0.029966,            0.058446,           0.0027282,             0.67108,             0.02976,           0.0081755,             0.09684,            0.020958,            0.058913,            0.077475,           0.0024753,           0.0024753
                   2,            0.069642,            0.027591,             0.05364,            0.094837,             0.54832,             0.22373,              0.1012,            0.082616,            0.018942,            0.054637,            0.065725,           0.0037248,           0.0037248
                   3,            0.058681,            0.026577,            0.049418,             0.33874,             0.29862,             0.14016,            0.055374,            0.083445,             0.01608,             0.05267,            0.053949,           0.0049485,           0.0049485
                   4,            0.056977,            0.024848,            0.047393,             0.35315,             0.34062,             0.21187,             0.11265,            0.073559,            0.015866,             0.05126,            0.042147,           0.0061466,           0.0061466
                   5,            0.055828,            0.021652,            0.045204,              0.6293,             0.26471,             0.33093,             0.13986,            0.078235,            0.013493,            0.048244,            0.030319,           0.0073188,           0.0073188
                   6,            0.055802,            0.020716,            0.042759,             0.25995,             0.42809,              0.3165,             0.10739,            0.076096,            0.013148,            0.047057,            0.018465,           0.0084654,           0.0084654
                   7,            0.055125,             0.01804,            0.041585,             0.13855,              0.3305,             0.27009,             0.12975,            0.080073,            0.011831,            0.044521,            0.009307,            0.009307,            0.009307
                   8,            0.055268,            0.016824,            0.039467,             0.27796,             0.61672,             0.34674,             0.14283,            0.070608,            0.012086,            0.042629,            0.009307,            0.009307,            0.009307
                   9,            0.051605,            0.016775,            0.036243,               0.182,             0.48951,             0.31367,               0.156,            0.070906,            0.011569,            0.041275,            0.009208,            0.009208,            0.009208
                  10,            0.049397,            0.015358,            0.034917,             0.44054,             0.53023,             0.35034,             0.16571,            0.068472,            0.011256,            0.040795,            0.009109,            0.009109,            0.009109
                  11,            0.048768,            0.013761,            0.032711,             0.35771,             0.53741,             0.44553,             0.22668,            0.067457,            0.010807,            0.038955,             0.00901,             0.00901,             0.00901
                  12,            0.046739,            0.013575,            0.031697,             0.43025,             0.60326,             0.51712,             0.26339,            0.064121,             0.01089,            0.038169,            0.008911,            0.008911,            0.008911
                  13,            0.046526,            0.012419,            0.031121,               0.355,             0.66575,              0.5214,             0.29759,            0.065103,            0.010383,             0.03736,            0.008812,            0.008812,            0.008812
                  14,            0.043048,             0.01287,              0.0278,             0.41835,              0.6214,             0.49232,              0.2698,            0.057353,            0.011016,            0.036994,            0.008713,            0.008713,            0.008713
                  15,            0.042025,            0.011138,            0.028139,             0.29252,             0.65674,             0.51451,             0.30008,            0.059563,            0.010207,            0.036305,            0.008614,            0.008614,            0.008614
                  16,            0.040471,            0.011545,            0.025429,             0.40636,             0.64533,             0.55919,               0.293,            0.056269,            0.010279,             0.03608,            0.008515,            0.008515,            0.008515
                  17,            0.039104,            0.011337,            0.026935,             0.60267,             0.61516,             0.57035,             0.33584,            0.055777,           0.0097326,            0.036203,            0.008416,            0.008416,            0.008416
                  18,            0.038067,            0.010007,            0.024866,             0.73259,             0.59563,             0.64062,             0.38616,            0.053922,            0.009946,            0.036158,            0.008317,            0.008317,            0.008317
                  19,            0.035927,           0.0099504,            0.024544,             0.54272,             0.62756,             0.54813,             0.37342,            0.057026,           0.0096814,            0.035885,            0.008218,            0.008218,            0.008218
                  20,             0.03624,            0.010005,            0.024426,             0.61345,             0.63985,             0.64772,             0.36919,            0.054056,             0.00965,            0.035094,            0.008119,            0.008119,            0.008119
                  21,            0.035511,             0.01063,            0.023615,              0.4437,             0.66524,              0.6245,             0.39949,            0.059563,           0.0088529,            0.034106,             0.00802,             0.00802,             0.00802
                  22,            0.037225,            0.010212,            0.022122,             0.56164,             0.67196,             0.65866,             0.36963,            0.059272,           0.0090694,            0.033735,            0.007921,            0.007921,            0.007921
                  23,            0.034565,            0.009139,            0.022284,             0.79359,             0.61708,             0.69639,             0.42001,            0.058674,           0.0085709,            0.033327,            0.007822,            0.007822,            0.007822
                  24,            0.033378,           0.0090484,            0.022445,              0.7576,             0.64866,             0.69611,             0.47652,            0.055156,           0.0087782,            0.033576,            0.007723,            0.007723,            0.007723
                  25,             0.03201,           0.0086349,            0.020779,             0.63914,             0.66028,             0.68703,             0.45812,            0.056457,           0.0090179,            0.033715,            0.007624,            0.007624,            0.007624
                  26,            0.032327,           0.0086416,            0.018131,             0.69542,             0.65256,             0.67483,             0.47272,            0.055433,           0.0089765,            0.033982,            0.007525,            0.007525,            0.007525
                  27,            0.033733,           0.0083625,            0.019053,             0.77915,             0.65459,             0.68853,             0.47538,            0.055627,           0.0088541,             0.03419,            0.007426,            0.007426,            0.007426
                  28,            0.031162,           0.0086679,            0.019096,             0.79331,             0.65995,             0.71321,             0.48501,             0.05375,           0.0088767,             0.03376,            0.007327,            0.007327,            0.007327
                  29,            0.030835,           0.0087967,            0.018382,             0.76305,             0.66251,             0.71376,             0.46386,            0.053999,           0.0089098,            0.032464,            0.007228,            0.007228,            0.007228
                  30,            0.030014,           0.0080643,            0.016652,             0.76463,             0.68059,              0.7204,             0.47246,             0.04996,           0.0090782,             0.03191,            0.007129,            0.007129,            0.007129
                  31,            0.029925,           0.0081256,            0.017663,             0.80208,             0.68167,             0.70039,             0.47823,            0.051951,           0.0089398,            0.031447,             0.00703,             0.00703,             0.00703
                  32,            0.028675,           0.0079292,            0.018544,             0.80976,             0.68652,             0.71815,             0.49419,            0.050507,           0.0089745,            0.031011,            0.006931,            0.006931,            0.006931
                  33,            0.028568,           0.0069992,            0.017079,             0.76674,             0.67836,             0.68086,             0.48237,            0.050768,           0.0090528,            0.031427,            0.006832,            0.006832,            0.006832
                  34,            0.028981,           0.0079332,            0.016406,             0.76311,             0.67586,             0.71638,             0.55002,            0.050724,           0.0091538,            0.031418,            0.006733,            0.006733,            0.006733
                  35,            0.028804,           0.0076388,              0.0154,             0.69405,             0.68863,             0.70842,             0.51062,            0.052516,           0.0092767,            0.032045,            0.006634,            0.006634,            0.006634
                  36,            0.028661,           0.0078649,            0.016472,             0.75193,             0.68802,             0.72192,             0.50916,            0.051638,            0.009334,            0.031524,            0.006535,            0.006535,            0.006535
                  37,            0.026818,           0.0076318,            0.014135,             0.82806,             0.67071,             0.72262,             0.50636,            0.050923,           0.0092875,            0.030621,            0.006436,            0.006436,            0.006436
